unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
1548960,G304691,2001-01-01 00:00:00 UTC,018XX W 63 ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,714,7,,,06,1164805.0,1862921.0,2001,2015-08-17 15:03:40 UTC,41.779460368,-87.671353407,"(41.779460368, -87.671353407)"
9748516,HX397222,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
9863118,HX512727,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-31 15:43:09 UTC,,,
9748492,HX397219,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
4139911,HL476247,2001-01-01 00:00:00 UTC,064XX S CAMPBELL AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,false,true,825,8,15,66,20,1160770.0,1862000.0,2001,2006-03-31 22:03:38 UTC,41.777017302,-87.686171667,"(41.777017302, -87.686171667)"
2353946,HH655999,2001-01-01 00:00:00 UTC,044XX S CALIFORNIA AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,912,9,12,58,06,1158408.0,1874895.0,2001,2015-08-17 15:03:40 UTC,41.812451386,-87.694479455,"(41.812451386, -87.694479455)"
2561460,HJ147906,2001-01-01 00:00:00 UTC,020XX N CLARK ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,BANK,false,false,1814,18,43,7,06,1173925.0,1913900.0,2001,2015-08-17 15:03:40 UTC,41.919153179,-87.636401731,"(41.919153179, -87.636401731)"
5581125,HN388461,2001-01-01 00:00:00 UTC,013XX W 15TH ST,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,COMMERCIAL / BUSINESS OFFICE,true,false,1222,12,2,28,12,1167660.0,1892819.0,2001,2008-04-25 01:06:11 UTC,41.861442825,-87.660027716,"(41.861442825, -87.660027716)"
9754946,HX403521,2001-01-01 00:00:00 UTC,031XX W DOUGLAS BLVD,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,1022,10,24,29,17,,,2001,2015-08-17 15:03:40 UTC,,,
2616775,HJ220522,2001-01-01 00:00:00 UTC,071XX N PAULINA ST,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,false,false,2423,24,49,1,20,1163844.0,1947579.0,2001,2015-08-17 15:03:40 UTC,42.011788612,-87.672485973,"(42.011788612, -87.672485973)"
